method,k,traffic,ir,mean,std,n,ci95
MinAdapt,16,hotspot,0.02,877.1468,31.0645,5,27.2292
MinAdapt,16,hotspot,0.04,927.4086,21.7192,5,19.0377
MinAdapt,16,hotspot,0.08,978.2396,13.3233,5,11.6784
MinAdapt,16,transpose,0.005,217.834,8.873,5,7.7775
MinAdapt,16,transpose,0.01,252.4466,6.7848,5,5.9472
MinAdapt,16,transpose,0.02,380.3688,11.5719,5,10.1432
MinAdapt,16,transpose,0.04,498.9786,4.2153,5,3.6948
MinAdapt,16,transpose,0.08,680.5732,5.2346,5,4.5883
MinAdapt,16,uniform,0.005,117.5172,2.224,5,1.9494
MinAdapt,16,uniform,0.01,300.9956,11.1215,5,9.7485
MinAdapt,16,uniform,0.02,453.3498,17.5736,5,15.4039
MinAdapt,16,uniform,0.04,712.6088,6.6621,5,5.8396
MinAdapt,16,uniform,0.08,855.9958,1.5195,5,1.3319
OddEven,4,hotspot,0.005,390.1776,81.0202,5,71.0173
OddEven,4,hotspot,0.01,547.4644,25.17,5,22.0624
OddEven,4,hotspot,0.02,737.7236,39.6458,5,34.7511
OddEven,4,hotspot,0.04,870.0102,29.5546,5,25.9057
OddEven,4,hotspot,0.08,941.935,13.7261,5,12.0315
OddEven,4,transpose,0.005,40.3633,1.2497,5,1.0954
OddEven,4,transpose,0.01,66.4522,14.353,5,12.581
OddEven,4,transpose,0.02,310.0032,17.0866,5,14.9771
OddEven,4,transpose,0.04,271.3952,5.5205,5,4.8389
OddEven,4,transpose,0.08,514.7956,12.6224,5,11.064
OddEven,4,uniform,0.005,39.4839,0.9008,5,0.7896
OddEven,4,uniform,0.01,45.1737,1.2335,5,1.0813
OddEven,4,uniform,0.02,69.4388,2.7971,5,2.4518
OddEven,4,uniform,0.04,515.3542,43.4559,5,38.0908
OddEven,4,uniform,0.08,628.4908,11.3163,5,9.9191
OddEven,8,hotspot,0.005,599.1188,36.2754,5,31.7968
OddEven,8,hotspot,0.01,709.3196,42.7314,5,37.4557
OddEven,8,hotspot,0.02,842.1606,17.1139,5,15.001
OddEven,8,hotspot,0.04,927.1694,8.3689,5,7.3357
OddEven,8,hotspot,0.08,971.6468,8.4531,5,7.4095
OddEven,8,transpose,0.005,173.711,11.2774,5,9.8851
OddEven,8,transpose,0.01,199.8006,12.4083,5,10.8764
OddEven,8,transpose,0.02,285.8624,9.4688,5,8.2998
OddEven,8,transpose,0.04,371.296,10.8248,5,9.4884
OddEven,8,transpose,0.08,587.2196,7.8786,5,6.9059
OddEven,8,uniform,0.005,57.0224,1.6724,5,1.4659
OddEven,8,uniform,0.01,79.262,3.0755,5,2.6958
OddEven,8,uniform,0.02,446.931,40.6039,5,35.5909
OddEven,8,uniform,0.04,584.5216,17.8957,5,15.6863
OddEven,8,uniform,0.08,780.229,22.3298,5,19.573
OddEven,16,hotspot,0.005,725.226,31.1906,5,27.3398
OddEven,16,hotspot,0.01,793.4288,33.1807,5,29.0842
OddEven,16,hotspot,0.02,911.893,12.1503,5,10.6502
OddEven,16,hotspot,0.04,937.031,22.651,5,19.8545
OddEven,16,hotspot,0.08,986.3658,11.2678,5,9.8767
OddEven,16,transpose,0.005,217.4048,6.8424,5,5.9976
OddEven,16,transpose,0.01,264.2536,5.4561,5,4.7825
OddEven,16,transpose,0.02,328.6328,5.8533,5,5.1307
OddEven,16,transpose,0.04,418.6364,9.8165,5,8.6045
OddEven,16,transpose,0.08,627.6796,7.3024,5,6.4009
OddEven,16,uniform,0.005,105.1876,3.1642,5,2.7736
OddEven,16,uniform,0.01,325.0408,57.5876,5,50.4777
