train_seed,k,traffic,ir,eval_seed,avg_lat,status
seed_1,8,hotspot,0.08,2024,988.806,ok
seed_1,8,hotspot,0.08,42,992.908,ok
seed_1,8,hotspot,0.08,1337,997.928,ok
seed_1,8,hotspot,0.08,314,982.34,ok
seed_1,8,hotspot,0.08,17,972.557,ok
seed_1,8,transpose,0.005,1337,53.9016,ok
seed_1,8,transpose,0.005,42,54.3108,ok
seed_1,8,transpose,0.005,2024,54.2969,ok
seed_1,8,transpose,0.005,17,52.3744,ok
seed_1,8,transpose,0.005,314,53.5083,ok
seed_1,8,transpose,0.01,2024,63.7303,ok
seed_1,8,transpose,0.01,42,64.3345,ok
seed_1,8,transpose,0.01,1337,63.0538,ok
seed_1,8,transpose,0.01,314,66.3476,ok
seed_1,8,transpose,0.01,17,63.9428,ok
seed_1,8,transpose,0.04,42,394.112,ok
seed_1,8,transpose,0.04,1337,396.906,ok
seed_1,8,transpose,0.04,2024,398.122,ok
seed_1,8,transpose,0.04,314,391.531,ok
seed_1,8,transpose,0.04,17,392.176,ok
seed_1,8,transpose,0.08,42,660.85,ok
seed_1,8,transpose,0.02,42,343.103,ok
seed_1,8,transpose,0.02,2024,383.058,ok
seed_1,8,transpose,0.02,1337,311.56,ok
seed_1,8,transpose,0.02,17,334.176,ok
seed_42,8,uniform,0.005,42,56.127,ok
seed_1,8,transpose,0.02,314,343.776,ok
seed_42,8,uniform,0.005,2024,55.8298,ok
seed_42,8,uniform,0.005,1337,55.0496,ok
seed_1,8,transpose,0.08,314,643.875,ok
seed_1,8,transpose,0.08,1337,646.794,ok
seed_1,8,transpose,0.08,2024,649.424,ok
seed_42,8,uniform,0.005,314,55.9653,ok
seed_42,8,uniform,0.005,17,53.7798,ok
seed_1,8,transpose,0.08,17,645.877,ok
seed_42,8,uniform,0.01,1337,68.6182,ok
seed_42,8,uniform,0.01,42,72.6359,ok
seed_42,8,uniform,0.01,314,69.0606,ok
seed_42,8,uniform,0.01,2024,71.2587,ok
seed_42,8,uniform,0.01,17,67.7011,ok
seed_42,8,uniform,0.04,42,511.599,ok
seed_42,8,uniform,0.04,2024,510.708,ok
seed_42,8,uniform,0.04,1337,503.563,ok
seed_42,8,uniform,0.02,1337,220.135,ok
seed_42,8,uniform,0.04,17,502.458,ok
seed_42,8,uniform,0.08,42,753.974,ok
seed_42,8,uniform,0.04,314,517.373,ok
seed_42,8,uniform,0.02,17,224.939,ok
seed_42,8,uniform,0.02,42,294.737,ok
seed_42,8,hotspot,0.005,42,688.673,ok
seed_42,8,hotspot,0.005,1337,685.918,ok
seed_42,8,hotspot,0.005,2024,686.34,ok
seed_42,8,uniform,0.02,2024,362.315,ok
seed_42,8,uniform,0.02,314,226.811,ok
seed_42,8,hotspot,0.005,314,655.684,ok
seed_42,8,hotspot,0.005,17,609.812,ok
seed_42,8,uniform,0.08,1337,754.912,ok
seed_42,8,hotspot,0.01,42,780.454,ok
seed_42,8,hotspot,0.01,2024,680.402,ok
seed_42,8,hotspot,0.01,314,755.454,ok
seed_42,8,hotspot,0.01,17,770.367,ok
seed_42,8,hotspot,0.01,1337,756.959,ok
seed_42,8,hotspot,0.02,42,885.485,ok
seed_42,8,uniform,0.08,314,754.429,ok
seed_42,8,hotspot,0.02,1337,907.778,ok
seed_42,8,hotspot,0.02,2024,835.495,ok
seed_42,8,hotspot,0.04,42,946.845,ok
seed_42,8,hotspot,0.02,314,868.705,ok
seed_42,8,hotspot,0.02,17,863.061,ok
seed_42,8,uniform,0.08,17,755.37,ok
seed_42,8,hotspot,0.04,1337,941.835,ok
seed_42,8,hotspot,0.04,314,943.612,ok
seed_42,8,hotspot,0.04,17,959.531,ok
seed_42,8,hotspot,0.08,42,995.306,ok
seed_42,8,hotspot,0.04,2024,958.224,ok
seed_42,8,uniform,0.08,2024,766.435,ok
seed_42,8,hotspot,0.08,314,988.082,ok
seed_42,8,hotspot,0.08,17,992.101,ok
seed_42,8,hotspot,0.08,1337,980.536,ok
seed_42,8,hotspot,0.08,2024,990.673,ok
seed_42,8,transpose,0.005,42,51.4126,ok
seed_42,8,transpose,0.005,2024,52.0998,ok
seed_42,8,transpose,0.005,314,53.468,ok
seed_42,8,transpose,0.005,17,52.7608,ok
seed_42,8,transpose,0.005,1337,54.5392,ok
seed_42,8,transpose,0.01,42,63.2929,ok
seed_42,8,transpose,0.01,1337,63.6861,ok
seed_42,8,transpose,0.01,2024,66.171,ok
seed_42,8,transpose,0.01,314,65.4484,ok
seed_42,8,transpose,0.01,17,66.9037,ok
seed_42,8,transpose,0.04,42,393.535,ok
seed_42,8,transpose,0.04,2024,399.47,ok
seed_42,8,transpose,0.04,1337,389.099,ok
seed_42,8,transpose,0.04,314,396.076,ok
seed_42,8,transpose,0.04,17,402.13,ok
seed_42,8,transpose,0.08,42,655.66,ok
seed_42,8,transpose,0.02,2024,429.306,ok
seed_42,8,transpose,0.08,2024,646.675,ok
seed_42,8,transpose,0.02,314,332.141,ok
seed_42,8,transpose,0.02,42,341.33,ok
seed_42,8,transpose,0.02,17,324.676,ok
seed_42,8,transpose,0.08,314,644.636,ok
seed_42,8,transpose,0.08,1337,639.358,ok
seed_42,8,transpose,0.02,1337,316.012,ok
seed_1337,8,uniform,0.005,42,54.7593,ok
seed_1337,8,uniform,0.005,1337,54.4144,ok
seed_1337,8,uniform,0.005,2024,55.6187,ok
seed_1337,8,uniform,0.005,17,54.0216,ok
seed_1337,8,uniform,0.005,314,55.7397,ok
seed_42,8,transpose,0.08,17,638.29,ok
seed_1337,8,uniform,0.01,42,71.9202,ok
seed_1337,8,uniform,0.01,1337,68.5166,ok
seed_1337,8,uniform,0.01,2024,69.6656,ok
seed_1337,8,uniform,0.01,17,66.9374,ok
seed_1337,8,uniform,0.01,314,70.1954,ok
seed_1337,8,uniform,0.04,42,523.588,ok
seed_1337,8,uniform,0.04,1337,514.216,ok
seed_1337,8,uniform,0.04,2024,523.713,ok
seed_1337,8,uniform,0.02,1337,256.762,ok
seed_1337,8,uniform,0.04,314,541.221,ok
seed_1337,8,uniform,0.08,42,766.588,ok
seed_1337,8,uniform,0.04,17,507.802,ok
seed_1337,8,uniform,0.02,2024,305.593,ok
seed_1337,8,uniform,0.02,17,254.779,ok
seed_1337,8,hotspot,0.005,42,609.388,ok
seed_1337,8,uniform,0.08,1337,757.227,ok
seed_1337,8,uniform,0.02,42,315.142,ok
seed_1337,8,hotspot,0.005,1337,639.32,ok
seed_1337,8,hotspot,0.005,314,610.616,ok
seed_1337,8,uniform,0.08,2024,742.765,ok
seed_1337,8,hotspot,0.005,17,607.361,ok
seed_1337,8,hotspot,0.005,2024,578.237,ok
seed_1337,8,uniform,0.08,314,749.53,ok
seed_1337,8,hotspot,0.01,42,742.0,ok
seed_1337,8,hotspot,0.01,1337,736.227,ok
seed_1337,8,hotspot,0.01,2024,737.021,ok
seed_1337,8,hotspot,0.01,17,765.742,ok
seed_1337,8,hotspot,0.01,314,732.604,ok
seed_1337,8,uniform,0.08,17,762.603,ok
seed_1337,8,hotspot,0.02,42,893.021,ok
seed_1337,8,hotspot,0.02,1337,866.602,ok
seed_1337,8,hotspot,0.02,2024,860.388,ok
seed_1337,8,hotspot,0.02,314,865.34,ok
seed_1337,8,hotspot,0.02,17,832.134,ok
seed_1337,8,hotspot,0.04,42,926.531,ok
seed_1337,8,hotspot,0.04,1337,951.908,ok
seed_1337,8,hotspot,0.04,2024,959.093,ok
seed_1337,8,hotspot,0.04,17,940.367,ok
seed_1337,8,hotspot,0.04,314,937.663,ok
seed_1337,8,hotspot,0.08,314,987.224,ok
seed_1337,8,hotspot,0.08,42,983.459,ok
seed_1337,8,hotspot,0.08,2024,984.52,ok
seed_1337,8,hotspot,0.08,17,966.247,ok
seed_1337,8,hotspot,0.08,1337,970.011,ok
seed_1337,8,uniform,0.02,314,288.644,ok
seed_1337,8,transpose,0.005,42,60.2358,ok
seed_1337,8,transpose,0.005,1337,58.0368,ok
seed_1337,8,transpose,0.005,2024,60.4151,ok
seed_1337,8,transpose,0.005,17,60.841,ok
seed_1337,8,transpose,0.005,314,60.2029,ok
seed_1337,8,transpose,0.02,42,364.492,ok
seed_1337,8,transpose,0.02,1337,346.686,ok
seed_1337,8,transpose,0.02,2024,411.554,ok
seed_1337,8,transpose,0.01,1337,216.621,ok
seed_1337,8,transpose,0.01,17,172.978,ok
seed_1337,8,transpose,0.01,314,214.477,ok
seed_1337,8,transpose,0.01,42,130.333,ok
seed_1337,8,transpose,0.01,2024,144.773,ok
seed_1337,8,transpose,0.04,1337,439.666,ok
seed_1337,8,transpose,0.04,42,439.094,ok
seed_1337,8,transpose,0.04,314,440.647,ok
seed_1337,8,transpose,0.04,2024,396.054,ok
seed_1337,8,transpose,0.08,42,708.351,ok
seed_1337,8,transpose,0.04,17,436.949,ok
seed_1337,8,transpose,0.02,314,331.655,ok
seed_1337,8,transpose,0.02,17,322.633,ok
seed_1337,8,transpose,0.08,1337,675.407,ok
seed_1337,8,transpose,0.08,2024,682.059,ok
seed_1337,8,transpose,0.08,314,687.086,ok
seed_1337,8,transpose,0.08,17,657.458,ok
